iter	RMSE
0	17667835.78
1	16818756.19
2	16054807.26
3	15361011.99
4	14725470.72
5	14150059.52
6	13623091.66
7	13196507.51
8	12826888.46
9	12509204.33
10	12217388
11	11950609.5
12	11762400.85
13	11579272.53
14	11408721.72
15	11258167.68
16	10956866.89
17	10773279.46
18	10647349.25
19	10400256.64
20	10294649.43
21	10059910.98
22	9968857.935
23	9883838.849
24	9801564.203
25	9724807.872
26	9532726.845
27	9340948.228
28	9185586.74
29	9130512.625
30	8945172.794
31	8884447.949
32	8725020.807
33	8611693.164
34	8458232.676
35	8317609.437
36	8252829.883
37	8141905.191
38	8100097.035
39	8072225.044
40	7952411.379
41	7857042.682
42	7840320.997
43	7756050.006
44	7648557.14
45	7556129.152
46	7526218.063
47	7462208.442
48	7385047.463
49	7295588.406
50	7250565.114
51	7172957.231
52	7106750.41
53	7056452.92
54	6987703.799
55	6917177.957
56	6850094.618
57	6791108.917
58	6727150.996
59	6677842.433
60	6627064.439
61	6569997.582
62	6543993.034
63	6502499.371
64	6458072.744
65	6403036.247
66	6365726.07
67	6322972.429
68	6267445.367
69	6227667.469
70	6167591.862
71	6131440.423
72	6098225.073
73	6067660.394
74	6038194.298
75	6011109.978
76	5981096.33
77	5950190.407
78	5910189.358
79	5883758.755
80	5846600.208
81	5822670.525
82	5791285.242
83	5769753.464
84	5726731.636
85	5703847.327
86	5672015.295
87	5649105.485
88	5618516.562
89	5599717.904
90	5579260.377
91	5556516.807
92	5537130.437
93	5508862.129
94	5481885.892
95	5464827.12
96	5444880.987
97	5415393.352
98	5392377.162
99	5377267.228
