iter	Passed	Remaining
0	156	15537
1	166	8145
2	175	5673
3	184	4417
4	193	3682
5	203	3184
6	212	2827
7	222	2555
8	231	2341
9	240	2167
10	250	2022
11	258	1897
12	267	1790
13	276	1698
14	284	1612
15	292	1537
16	301	1472
17	310	1412
18	318	1358
19	327	1309
20	335	1263
21	344	1222
22	353	1184
23	362	1146
24	370	1111
25	379	1079
26	388	1050
27	398	1023
28	407	997
29	416	971
30	425	946
31	434	922
32	442	898
33	451	876
34	460	854
35	469	834
36	478	814
37	486	794
38	495	775
39	503	755
40	513	738
41	521	720
42	530	702
43	539	686
44	547	669
45	557	654
46	565	638
47	574	622
48	584	607
49	592	592
50	601	578
51	610	563
52	619	549
53	628	535
54	637	521
55	647	508
56	656	495
57	666	482
58	675	469
59	684	456
60	693	443
61	702	430
62	711	417
63	720	405
64	728	392
65	737	380
66	746	367
67	755	355
68	763	343
69	773	331
70	781	319
71	790	307
72	800	295
73	808	284
74	817	272
75	826	261
76	835	249
77	844	238
78	853	226
79	862	215
80	870	204
81	880	193
82	890	182
83	899	171
84	907	160
85	916	149
86	925	138
87	935	127
88	943	116
89	952	105
90	961	95
91	970	84
92	979	73
93	987	63
94	996	52
95	1005	41
96	1014	31
97	1022	20
98	1031	10
99	1040	0
